Product code,Station number,Year,Month,Rainfall,Quality
IDCJAC0001,23034,1996,3,18.8,Y
IDCJAC0001,23034,1996,4,24.6,Y
IDCJAC0001,23034,1996,5,11.4,Y
IDCJAC0001,23034,1996,6,91.8,Y
IDCJAC0001,23034,1996,7,82.6,Y
IDCJAC0001,23034,1996,8,87.2,Y
IDCJAC0001,23034,1996,9,65.8,Y
IDCJAC0001,23034,1996,10,19,Y
IDCJAC0001,23034,1996,11,1.8,Y
IDCJAC0001,23034,1996,12,14.2,Y
IDCJAC0001,23034,1997,1,46.4,Y
IDCJAC0001,23034,1997,2,25.6,Y
IDCJAC0001,23034,1997,3,4.2,Y
IDCJAC0001,23034,1997,4,5.2,Y
IDCJAC0001,23034,1997,5,55,Y
IDCJAC0001,23034,1997,6,30.2,Y
IDCJAC0001,23034,1997,7,18.4,Y
IDCJAC0001,23034,1997,8,79,Y
IDCJAC0001,23034,1997,9,72.6,Y
IDCJAC0001,23034,1997,10,69.4,Y
IDCJAC0001,23034,1997,11,44.4,Y
IDCJAC0001,23034,1997,12,18.2,Y
IDCJAC0001,23034,1998,1,7,Y
IDCJAC0001,23034,1998,2,20.4,Y
IDCJAC0001,23034,1998,3,8.8,Y
IDCJAC0001,23034,1998,4,95.2,Y
IDCJAC0001,23034,1998,5,26.2,Y
IDCJAC0001,23034,1998,6,74.4,Y
IDCJAC0001,23034,1998,7,44.8,Y
IDCJAC0001,23034,1998,8,44.6,Y
IDCJAC0001,23034,1998,9,49.4,Y
IDCJAC0001,23034,1998,10,43.8,Y
IDCJAC0001,23034,1998,11,24.4,Y
IDCJAC0001,23034,1998,12,11.6,Y
IDCJAC0001,23034,1999,1,17.2,Y
IDCJAC0001,23034,1999,2,2,Y
IDCJAC0001,23034,1999,3,53.6,Y
IDCJAC0001,23034,1999,4,8.4,Y
IDCJAC0001,23034,1999,5,61,Y
IDCJAC0001,23034,1999,6,70,Y
IDCJAC0001,23034,1999,7,51.2,Y
IDCJAC0001,23034,1999,8,20.4,Y
IDCJAC0001,23034,1999,9,57.4,Y
IDCJAC0001,23034,1999,10,57,Y
IDCJAC0001,23034,1999,11,35.2,Y
IDCJAC0001,23034,1999,12,32.8,Y
IDCJAC0001,23034,2000,1,3,Y
IDCJAC0001,23034,2000,2,57,Y
IDCJAC0001,23034,2000,3,26.6,Y
IDCJAC0001,23034,2000,4,52.4,Y
IDCJAC0001,23034,2000,5,54.8,Y
IDCJAC0001,23034,2000,6,74.8,Y
IDCJAC0001,23034,2000,7,45.8,Y
IDCJAC0001,23034,2000,8,50.6,Y
IDCJAC0001,23034,2000,9,59,Y
IDCJAC0001,23034,2000,10,66.6,Y
IDCJAC0001,23034,2000,11,11.6,Y
IDCJAC0001,23034,2000,12,11.8,Y
IDCJAC0001,23034,2001,1,2,Y
IDCJAC0001,23034,2001,2,10.8,Y
IDCJAC0001,23034,2001,3,29.6,Y
IDCJAC0001,23034,2001,4,17.6,Y
IDCJAC0001,23034,2001,5,78,Y
IDCJAC0001,23034,2001,6,80.6,Y
IDCJAC0001,23034,2001,7,39.4,Y
IDCJAC0001,23034,2001,8,63.8,Y
IDCJAC0001,23034,2001,9,96.6,Y
IDCJAC0001,23034,2001,10,64,Y
IDCJAC0001,23034,2001,11,40.4,Y
IDCJAC0001,23034,2001,12,12,Y
IDCJAC0001,23034,2002,1,16.2,Y
IDCJAC0001,23034,2002,2,0.4,Y
IDCJAC0001,23034,2002,3,10.2,Y
IDCJAC0001,23034,2002,4,7.6,Y
IDCJAC0001,23034,2002,5,65,Y
IDCJAC0001,23034,2002,6,45,Y
IDCJAC0001,23034,2002,7,70.6,Y
IDCJAC0001,23034,2002,8,21.4,Y
IDCJAC0001,23034,2002,9,29.6,Y
IDCJAC0001,23034,2002,10,15.8,Y
IDCJAC0001,23034,2002,11,35.2,Y
