Product code,Bureau of Meteorology station number,Year,Month, Temperature,Quality
IDCJAC0002,23034,1995,1,29.5,Y
IDCJAC0002,23034,1995,2,29.1,Y
IDCJAC0002,23034,1995,3,23.7,Y
IDCJAC0002,23034,1995,4,19.8,Y
IDCJAC0002,23034,1995,5,17.5,Y
IDCJAC0002,23034,1995,6,16.1,Y
IDCJAC0002,23034,1995,7,13.9,Y
IDCJAC0002,23034,1995,8,17.4,Y
IDCJAC0002,23034,1995,9,18.1,Y
IDCJAC0002,23034,1995,10,21.1,Y
IDCJAC0002,23034,1995,11,23.8,Y
IDCJAC0002,23034,1995,12,25.1,Y
IDCJAC0002,23034,1996,1,26.6,Y
IDCJAC0002,23034,1996,2,27.3,Y
IDCJAC0002,23034,1996,3,26.7,Y
IDCJAC0002,23034,1996,4,19.9,Y
IDCJAC0002,23034,1996,5,19.2,Y
IDCJAC0002,23034,1996,6,16.6,Y
IDCJAC0002,23034,1996,7,15,Y
IDCJAC0002,23034,1996,8,15.1,Y
IDCJAC0002,23034,1996,9,17.5,Y
IDCJAC0002,23034,1996,10,21.3,Y
IDCJAC0002,23034,1996,11,21.9,Y
IDCJAC0002,23034,1996,12,24.9,Y
IDCJAC0002,23034,1997,1,28.3,Y
IDCJAC0002,23034,1997,2,31.8,Y
IDCJAC0002,23034,1997,3,22.5,Y
IDCJAC0002,23034,1997,4,22.1,Y
IDCJAC0002,23034,1997,5,17.4,Y
IDCJAC0002,23034,1997,6,15.6,Y
IDCJAC0002,23034,1997,7,14.2,Y
IDCJAC0002,23034,1997,8,15,Y
IDCJAC0002,23034,1997,9,17.4,Y
IDCJAC0002,23034,1997,10,21.3,Y
IDCJAC0002,23034,1997,11,25.1,Y
IDCJAC0002,23034,1997,12,25.3,Y
IDCJAC0002,23034,1998,1,28.3,Y
IDCJAC0002,23034,1998,2,26.7,Y
IDCJAC0002,23034,1998,3,25.5,Y
IDCJAC0002,23034,1998,4,20.1,Y
IDCJAC0002,23034,1998,5,18.6,Y
IDCJAC0002,23034,1998,6,15.3,Y
IDCJAC0002,23034,1998,7,13.8,Y
IDCJAC0002,23034,1998,8,16.1,Y
IDCJAC0002,23034,1998,9,19.6,Y
IDCJAC0002,23034,1998,10,20.1,Y
IDCJAC0002,23034,1998,11,23.5,Y
IDCJAC0002,23034,1998,12,26.3,Y
IDCJAC0002,23034,1999,1,30.3,Y
IDCJAC0002,23034,1999,2,29.5,Y
IDCJAC0002,23034,1999,3,24.3,Y
